,Unnamed: 0,name,code,class,market_cap,reg_day,per
82,82,삼성전자,A005930,kospi,5098194,1975-06-11,22.23
66,66,SK하이닉스,A000660,kospi,1041043,1996-12-26,21.89
70,70,삼성전자우,A005935,kospi,621279,1975-06-11,19.66
87,87,DB하이텍,A000990,kospi,25662,1975-12-12,15.50
1,1,한미반도체,A042700,kospi,14640,2005-07-22,30.67
