,Unnamed: 0,name,code,class,market_cap,reg_day,per
53,53,유양디앤유,A011690,kospi,3593,1995-12-21,-1.66
39,39,한솔테크닉스,A004710,kospi,3436,1988-07-06,13.11
63,63,참엔지니어링,A009310,kospi,854,1987-11-12,17.7
79,79,금호전기,A001210,kospi,316,1973-11-15,-1.22
