,name,code,class,market_cap,reg_day,per
102,테라셈,A182690,kosdaq,305,2014/10/30,-9.66
103,엔투텍,A227950,kosdaq,1105,2015/11/18,-5.29
104,메카로,A241770,kosdaq,1243,2017/12/06,-75.93
105,솔브레인홀딩스,A036830,kosdaq,8962,2000/01/18,0.41
106,픽셀플러스,A087600,kosdaq,656,2015/06/12,16.45
107,넥스틴,A348210,kosdaq,7450,2020/10/08,44.95
108,유니트론텍,A142210,kosdaq,890,2016/02/02,57.13
109,엑사이엔씨,A054940,kosdaq,537,2001/12/13,-70.43
110,한국전자홀딩스,A006200,kospi,721,1979/11/30,-12.83
111,기가레인,A049080,kosdaq,1445,2013/12/19,-4.26
112,에스앤에스텍,A101490,kosdaq,7487,2009/04/14,64.75
113,피델릭스,A032580,kosdaq,515,1997/04/22,-8.69
114,시스웍,A269620,kosdaq,1390,2017/12/26,49.21
115,엔시트론,A101400,kosdaq,286,2009/03/31,-3.60
116,코디엠,A224060,kosdaq,666,2015/12/29,-3.83
117,오킨스전자,A080580,kosdaq,5215,2014/12/24,"1,053.57"
118,아이에이네트웍스,A123010,kosdaq,1086,2016/07/20,-22.58
